am,ln,evalue
NP_001267818.1,KMQ91667.1,0.0
NP_001267823.1,KMQ93137.1,2e-95
NP_001267828.1,KMR04514.1,2e-05
NP_001267833.1,KMR04512.1,6e-05
NP_001267835.1,KMQ95445.1,2e-100
NP_001267835.1,KMQ95445.1,2e-10
NP_001267840.1,KMQ91967.1,0.0
NP_001267845.1,KMQ94103.1,1e-85
NP_001267847.1,KMQ82831.1,1e-20
NP_001267850.1,KMQ91026.1,0.0
NP_001267853.1,KMQ85836.1,1e-13
NP_001267855.1,KMQ91325.1,3e-105
NP_001267859.1,KMQ99398.1,5e-113
NP_001267862.1,KMQ93380.1,0.0
NP_001272327.1,KMQ93645.1,0.0
NP_001273373.1,KMQ91667.1,2e-59
NP_001274492.1,KMQ90794.1,0.0
NP_001274494.1,KMR05045.1,2e-45
NP_001291369.1,KMQ93850.1,3e-56
XP_003392860.1,KMR03123.1,0.0
XP_003392861.1,KMQ97064.1,0.0
XP_003392862.1,KMQ92202.1,9e-94
XP_003392863.1,KMQ88216.1,6e-73
XP_003392864.1,KMQ92489.1,2e-170
XP_003392865.1,KMQ93753.1,8e-156
XP_003392865.1,KMQ93753.1,8e-24
XP_003392868.1,KMQ88712.1,8e-54
XP_003392871.1,KMQ97821.1,2e-164
XP_003392873.1,KMQ95394.1,5e-83
XP_003392875.1,KMQ90937.1,1e-57
XP_003392876.1,KMQ97820.1,2e-25
XP_003392877.1,KMQ97820.1,2e-25
XP_003392880.2,KMQ88957.1,4e-09
XP_003392882.1,KMQ95326.1,0.0
XP_003392883.1,KMQ96897.1,0.0
XP_003392884.1,KMQ91036.1,0.0
XP_003392885.1,KMQ97332.1,0.0
XP_003392885.1,KMQ97332.1,4e-39
XP_003392886.1,KMQ97333.1,2e-129
XP_003392887.1,KMQ97333.1,2e-107
XP_003392888.1,KMQ88321.1,8e-91
XP_003392889.1,KMQ89237.1,2e-55
XP_003392889.1,KMQ89237.1,2e-29
XP_003392892.1,KMQ93084.1,0.0
XP_003392893.1,KMQ90674.1,0.0
XP_003392894.1,KMQ90675.1,0.0
XP_003392895.1,KMQ90673.1,1e-120
XP_003392897.2,KMR05314.1,5e-62
XP_003392898.1,KMQ96531.1,0.0
XP_003392902.2,KMR05366.1,3e-132
XP_003392903.1,KMQ95037.1,0.0
XP_003392904.1,KMQ95038.1,0.0
XP_003392905.2,KMQ95325.1,1e-62
XP_003392910.1,KMQ97509.1,6e-32
XP_003392919.1,KMR04948.1,0.0
XP_003392920.1,KMR04949.1,0.0
XP_003392923.1,KMR04953.1,0.0
XP_003392925.1,KMQ91391.1,0.0
XP_003392926.1,KMQ89856.1,0.0
XP_003392928.1,KMR04948.1,9e-146
XP_003392929.1,KMQ94493.1,8e-33
XP_003392930.1,KMQ89187.1,0.0
XP_003392931.1,KMQ97025.1,0.0
XP_003392932.1,KMQ97025.1,0.0
XP_003392933.1,KMQ97024.1,2e-82
XP_003392935.1,KMQ96572.1,0.0
XP_003392936.1,KMQ87614.1,0.0
XP_003392936.1,KMQ87614.1,2e-134
XP_003392938.1,KMQ87927.1,8e-140
XP_003392942.1,KMQ87128.1,5e-179
XP_003392943.1,KMQ92266.1,5e-69
XP_003392944.1,KMR05364.1,2e-49
