am,lf,evalue
NP_001267818.1,TRINITY_DN27273_c0_g1_i1|m.6740,0.0
NP_001267823.1,TRINITY_DN8383_c0_g1_i1|m.28086,1e-106
NP_001267835.1,TRINITY_DN11528_c0_g1_i1|m.14989,0.0
NP_001267838.1,TRINITY_DN9556_c0_g1_i1|m.25509,7e-13
NP_001267840.1,TRINITY_DN6306_c0_g1_i1|m.39862,0.0
NP_001267845.1,TRINITY_DN14991_c0_g1_i1|m.31014,9e-86
NP_001267847.1,TRINITY_DN12839_c0_g1_i1|m.50307,6e-158
NP_001267850.1,TRINITY_DN36357_c0_g1_i1|m.38862,1e-103
NP_001267850.1,TRINITY_DN36357_c0_g1_i1|m.38862,1e-34
NP_001267850.1,TRINITY_DN36357_c0_g1_i1|m.38862,5e-34
NP_001267853.1,TRINITY_DN12045_c0_g2_i1|m.37811,6e-09
NP_001267855.1,TRINITY_DN14259_c0_g1_i1|m.21109,1e-104
NP_001267859.1,TRINITY_DN8159_c0_g1_i1|m.11929,1e-65
NP_001267862.1,TRINITY_DN7773_c0_g1_i1|m.43000,0.0
NP_001267865.1,TRINITY_DN9117_c0_g1_i1|m.35959,0.0
NP_001272327.1,TRINITY_DN36147_c0_g1_i1|m.16917,6e-166
NP_001273373.1,TRINITY_DN27273_c0_g1_i1|m.6741,2e-127
NP_001274492.1,TRINITY_DN8327_c0_g1_i1|m.28042,0.0
NP_001274494.1,TRINITY_DN13387_c0_g1_i1|m.33350,4e-45
NP_001291369.1,TRINITY_DN39050_c0_g1_i1|m.16963,1e-52
XP_003392860.1,TRINITY_DN6822_c0_g1_i1|m.2607,8e-170
XP_003392861.1,TRINITY_DN11256_c0_g1_i1|m.8924,0.0
XP_003392862.1,TRINITY_DN7384_c0_g1_i1|m.21508,2e-137
XP_003392863.1,TRINITY_DN7158_c0_g1_i1|m.13456,9e-87
XP_003392864.1,TRINITY_DN10154_c0_g2_i1|m.49305,0.0
XP_003392865.1,TRINITY_DN10602_c0_g1_i1|m.48099,0.0
XP_003392865.1,TRINITY_DN10602_c0_g1_i1|m.48099,3e-33
XP_003392868.1,TRINITY_DN594_c0_g1_i1|m.9434,2e-54
XP_003392871.1,TRINITY_DN11343_c0_g1_i1|m.36522,9e-166
XP_003392873.1,TRINITY_DN28349_c0_g1_i1|m.41337,1e-128
XP_003392875.1,TRINITY_DN2676_c0_g1_i1|m.16843,2e-69
XP_003392876.1,TRINITY_DN6751_c0_g1_i1|m.42521,5e-41
XP_003392877.1,TRINITY_DN6751_c0_g1_i1|m.42521,5e-41
XP_003392880.2,TRINITY_DN13502_c0_g1_i1|m.44416,8e-06
XP_003392883.1,TRINITY_DN1692_c0_g1_i1|m.9801,0.0
XP_003392884.1,TRINITY_DN11901_c0_g1_i1|m.11104,0.0
XP_003392885.1,TRINITY_DN32160_c0_g1_i1|m.39433,0.0
XP_003392886.1,TRINITY_DN8469_c0_g1_i1|m.40506,6e-133
XP_003392887.1,TRINITY_DN8469_c0_g1_i1|m.40506,1e-106
XP_003392888.1,TRINITY_DN8140_c0_g2_i1|m.11904,0.0
XP_003392889.1,TRINITY_DN34213_c0_g1_i1|m.14227,1e-26
XP_003392892.1,TRINITY_DN3839_c0_g1_i1|m.28834,0.0
XP_003392893.1,TRINITY_DN1856_c0_g2_i1|m.26455,0.0
XP_003392894.1,TRINITY_DN5828_c0_g2_i1|m.6855,0.0
XP_003392895.1,TRINITY_DN37694_c0_g1_i1|m.17128,4e-110
XP_003392897.2,TRINITY_DN36141_c0_g1_i1|m.16924,7e-75
XP_003392898.1,TRINITY_DN12223_c0_g1_i1|m.1276,0.0
XP_003392902.2,TRINITY_DN842_c0_g1_i1|m.7091,3e-118
XP_003392903.1,TRINITY_DN28194_c0_g1_i1|m.38623,3e-22
XP_003392904.1,TRINITY_DN28194_c0_g1_i1|m.38623,1e-30
XP_003392905.2,TRINITY_DN10610_c0_g1_i1|m.48041,2e-101
XP_003392910.1,TRINITY_DN13804_c4_g3_i1|m.23001,6e-31
XP_003392919.1,TRINITY_DN13766_c1_g1_i1|m.4236,0.0
XP_003392920.1,TRINITY_DN13618_c0_g1_i1|m.6146,0.0
XP_003392923.1,TRINITY_DN6744_c1_g1_i1|m.42476,0.0
XP_003392925.1,TRINITY_DN9029_c0_g1_i1|m.4700,0.0
XP_003392926.1,TRINITY_DN13509_c0_g2_i1|m.44389,0.0
XP_003392928.1,TRINITY_DN9620_c1_g1_i1|m.27656,3e-162
XP_003392929.1,TRINITY_DN9683_c1_g1_i1|m.27390,1e-115
XP_003392930.1,TRINITY_DN4047_c0_g1_i1|m.39068,0.0
XP_003392931.1,TRINITY_DN13736_c1_g1_i1|m.2986,1e-179
XP_003392932.1,TRINITY_DN12017_c0_g2_i1|m.37535,0.0
XP_003392933.1,TRINITY_DN11178_c0_g1_i1|m.41447,2e-84
XP_003392935.1,TRINITY_DN11491_c1_g1_i1|m.34960,0.0
XP_003392936.1,TRINITY_DN13021_c0_g1_i1|m.197,0.0
XP_003392938.1,TRINITY_DN11891_c0_g1_i1|m.16301,1e-154
XP_003392942.1,TRINITY_DN5595_c0_g1_i1|m.27070,0.0
XP_003392943.1,TRINITY_DN28039_c0_g1_i1|m.23211,4e-110
XP_003392944.1,TRINITY_DN16090_c0_g1_i1|m.48142,4e-93
XP_003392945.1,TRINITY_DN11841_c0_g1_i1|m.16353,2e-103
XP_003392947.1,TRINITY_DN8481_c0_g2_i1|m.40348,1e-164
XP_003392950.1,TRINITY_DN12930_c0_g1_i1|m.7568,0.0
XP_003392951.1,TRINITY_DN7950_c0_g1_i1|m.40313,7e-66
XP_003392952.1,TRINITY_DN31902_c0_g1_i1|m.25860,3e-128
XP_003392952.1,TRINITY_DN31902_c0_g1_i1|m.25860,2e-06
XP_003392953.1,TRINITY_DN31902_c0_g1_i1|m.25860,3e-125
XP_003392953.1,TRINITY_DN31902_c0_g1_i1|m.25860,2e-06
XP_003392954.1,TRINITY_DN1954_c0_g1_i1|m.43127,0.0
XP_003392955.1,TRINITY_DN18914_c0_g1_i1|m.7165,0.0
XP_003392957.1,TRINITY_DN10561_c0_g1_i1|m.47655,0.0
XP_003392959.1,TRINITY_DN13509_c0_g2_i1|m.44389,0.0
XP_003392960.1,TRINITY_DN3152_c0_g1_i1|m.31950,9e-71
XP_003392961.1,TRINITY_DN9120_c0_g1_i1|m.36045,0.0
XP_003392963.1,TRINITY_DN11298_c0_g1_i1|m.8769,3e-147
XP_003392964.1,TRINITY_DN8302_c0_g1_i1|m.28087,3e-67
XP_003392965.1,TRINITY_DN12214_c0_g1_i1|m.1750,7e-93
XP_003392968.1,TRINITY_DN35947_c0_g1_i1|m.2363,2e-83
XP_003392969.1,TRINITY_DN12214_c0_g1_i1|m.1750,7e-93
XP_003392970.1,TRINITY_DN8302_c0_g1_i1|m.28087,3e-67
XP_003392971.1,TRINITY_DN5022_c0_g1_i1|m.17015,4e-84
XP_003392977.1,TRINITY_DN9080_c0_g1_i1|m.4643,6e-95
XP_003392978.1,TRINITY_DN10017_c0_g1_i1|m.26730,6e-85
XP_003392979.1,TRINITY_DN10937_c0_g1_i1|m.38457,1e-177
XP_003392980.1,TRINITY_DN27329_c0_g1_i1|m.28157,2e-98
XP_003392981.1,TRINITY_DN12317_c0_g1_i1|m.48394,3e-73
XP_003392983.2,TRINITY_DN10576_c0_g1_i1|m.47521,4e-111
XP_003392984.1,TRINITY_DN12298_c0_g1_i1|m.1744,0.0
XP_003392985.1,TRINITY_DN23207_c0_g1_i1|m.28738,8e-119
XP_003392988.1,TRINITY_DN8249_c0_g1_i1|m.7466,9e-86
XP_003392990.1,TRINITY_DN9964_c0_g1_i1|m.25158,0.0
XP_003392991.1,TRINITY_DN31566_c0_g1_i1|m.12655,0.0
XP_003392991.1,TRINITY_DN31566_c0_g1_i1|m.12655,4e-73
XP_003392991.1,TRINITY_DN31566_c0_g1_i1|m.12655,2e-48
XP_003392991.1,TRINITY_DN31566_c0_g1_i1|m.12655,4e-28
XP_003392992.1,TRINITY_DN649_c0_g1_i1|m.11181,0.0
XP_003392993.1,TRINITY_DN5257_c0_g3_i1|m.34299,1e-132
XP_003392994.1,TRINITY_DN10215_c0_g1_i1|m.43857,3e-101
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,7e-26
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,9e-21
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,1e-20
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,2e-18
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,1e-13
XP_003392995.1,TRINITY_DN7823_c0_g2_i1|m.4800,6e-10
XP_003392998.1,TRINITY_DN7303_c0_g1_i1|m.21624,0.0
XP_003392999.1,TRINITY_DN9200_c0_g1_i1|m.40924,0.0
XP_003393000.1,TRINITY_DN10078_c0_g2_i1|m.26694,0.0
XP_003393002.1,TRINITY_DN12852_c1_g1_i1|m.50440,0.0
XP_003393003.1,TRINITY_DN10202_c0_g1_i1|m.43898,0.0
XP_003393005.1,TRINITY_DN13704_c0_g2_i1|m.4189,1e-121
XP_003393006.1,TRINITY_DN2925_c0_g2_i1|m.11718,3e-83
XP_003393007.1,TRINITY_DN13610_c2_g2_i1|m.5828,1e-178
XP_003393008.2,TRINITY_DN13610_c2_g2_i1|m.5828,2e-178
XP_003393009.1,TRINITY_DN31753_c0_g1_i1|m.2493,6e-107
XP_003393010.1,TRINITY_DN6856_c0_g1_i1|m.2655,3e-106
XP_003393011.1,TRINITY_DN11729_c0_g1_i1|m.14513,1e-57
XP_003393014.1,TRINITY_DN11243_c0_g1_i1|m.8767,2e-31
XP_003393016.1,TRINITY_DN13904_c0_g1_i1|m.24211,0.0
XP_003393017.1,TRINITY_DN11441_c0_g1_i1|m.34909,8e-140
XP_003393020.1,TRINITY_DN5687_c0_g1_i1|m.43165,0.0
XP_003393022.1,TRINITY_DN11542_c0_g1_i1|m.14974,0.0
XP_003393025.1,TRINITY_DN11393_c0_g1_i1|m.36177,0.0
XP_003393026.1,TRINITY_DN10625_c0_g2_i1|m.48015,2e-09
XP_003393028.1,TRINITY_DN22580_c0_g1_i1|m.50458,8e-62
XP_003393030.1,TRINITY_DN12864_c2_g1_i1|m.50348,0.0
XP_003393031.1,TRINITY_DN13371_c1_g2_i1|m.33439,2e-65
XP_003393032.1,TRINITY_DN10861_c0_g1_i1|m.6272,0.0
XP_003393033.1,TRINITY_DN12659_c1_g1_i1|m.15531,2e-180
XP_003393033.1,TRINITY_DN12659_c1_g1_i1|m.15531,6e-34
XP_003393035.1,TRINITY_DN7685_c0_g1_i1|m.9322,2e-116
XP_003393036.1,TRINITY_DN10594_c0_g1_i1|m.47533,1e-172
XP_003393038.1,TRINITY_DN8697_c0_g2_i1|m.25964,6e-20
XP_003393040.1,TRINITY_DN19385_c0_g1_i1|m.7314,2e-70
XP_003393041.1,TRINITY_DN14156_c10_g1_i1|m.30143,0.0
XP_003393042.1,TRINITY_DN5192_c0_g2_i1|m.13606,6e-164
XP_003393044.1,TRINITY_DN7939_c0_g1_i1|m.40249,7e-142
XP_003393045.1,TRINITY_DN7939_c0_g1_i1|m.40249,1e-141
XP_003393047.1,TRINITY_DN8910_c0_g1_i1|m.13717,0.0
XP_003393048.1,TRINITY_DN14671_c0_g1_i1|m.9726,0.0
XP_003393051.2,TRINITY_DN12641_c0_g1_i1|m.15429,0.0
XP_003393053.1,TRINITY_DN10548_c0_g1_i1|m.47602,1e-115
XP_003393055.1,TRINITY_DN13372_c0_g1_i1|m.33818,2e-89
XP_003393058.1,TRINITY_DN9884_c0_g1_i1|m.12855,0.0
XP_003393059.1,TRINITY_DN1499_c0_g2_i1|m.11560,3e-142
XP_003393059.1,TRINITY_DN1499_c0_g2_i1|m.11560,2e-26
XP_003393059.1,TRINITY_DN1499_c0_g2_i1|m.11560,2e-08
XP_003393060.1,TRINITY_DN9884_c0_g1_i1|m.12856,2e-146
XP_003393061.1,TRINITY_DN9884_c0_g1_i1|m.12856,2e-146
XP_003393062.1,TRINITY_DN11770_c0_g1_i1|m.14305,0.0
XP_003393064.1,TRINITY_DN6866_c0_g1_i1|m.2651,2e-171
XP_003393065.1,TRINITY_DN32185_c0_g1_i1|m.39436,5e-170
XP_003393065.1,TRINITY_DN32185_c0_g1_i1|m.39436,6e-06
XP_003393066.2,TRINITY_DN9896_c0_g1_i1|m.12938,0.0
XP_003393067.2,TRINITY_DN9674_c0_g1_i1|m.27558,2e-122
XP_003393068.1,TRINITY_DN12074_c1_g1_i1|m.37700,0.0
XP_003393069.1,TRINITY_DN12676_c0_g1_i1|m.15540,0.0
XP_003393070.1,TRINITY_DN8330_c0_g1_i1|m.27954,1e-126
XP_003393071.1,TRINITY_DN5675_c0_g1_i1|m.43269,2e-179
XP_003393073.1,TRINITY_DN7615_c0_g1_i1|m.9303,0.0
XP_003393075.1,TRINITY_DN13873_c0_g1_i1|m.21827,0.0
XP_003393076.1,TRINITY_DN9375_c0_g1_i1|m.39363,0.0
XP_003393077.1,TRINITY_DN11195_c0_g1_i1|m.41626,6e-32
XP_003393078.1,TRINITY_DN13320_c0_g2_i1|m.34010,0.0
XP_003393080.1,TRINITY_DN13320_c0_g2_i1|m.34010,0.0
XP_003393082.1,TRINITY_DN9700_c0_g1_i1|m.12402,1e-169
XP_003393083.1,TRINITY_DN4282_c0_g2_i1|m.9627,0.0
XP_003393084.1,TRINITY_DN4282_c0_g1_i1|m.9626,0.0
XP_003393086.1,TRINITY_DN11028_c0_g1_i1|m.10346,2e-65
XP_003393087.1,TRINITY_DN8491_c0_g1_i1|m.40372,9e-155
XP_003393089.1,TRINITY_DN8036_c0_g1_i1|m.38711,6e-131
