ln,am,evalue
KMQ81323.1,XP_012175273.1,3e-07
KMQ81331.1,XP_012175372.1,3e-62
KMQ81331.1,XP_012175372.1,1e-11
KMQ81331.1,XP_012175372.1,4e-11
KMQ81331.1,XP_012175372.1,1e-08
KMQ81331.1,XP_012175372.1,2e-08
KMQ81334.1,XP_012163616.1,9e-07
KMQ81344.1,XP_012168350.1,2e-08
KMQ81351.1,XP_012163446.1,8e-56
KMQ81364.1,XP_012172674.1,1e-24
KMQ81364.1,XP_012172674.1,1e-21
KMQ81364.1,XP_012172674.1,9e-15
KMQ81365.1,XP_012175733.1,2e-08
KMQ81366.1,XP_003393259.1,5e-38
KMQ81375.1,XP_012166572.1,2e-35
KMQ81379.1,XP_012170116.1,3e-65
KMQ81380.1,XP_012171193.1,8e-09
KMQ81386.1,XP_012175268.1,5e-07
KMQ81387.1,XP_012163911.1,2e-15
KMQ81395.1,NP_001267855.1,1e-28
KMQ81398.1,XP_012170677.1,8e-27
KMQ81402.1,XP_012175268.1,2e-09
KMQ81403.1,XP_012176307.1,1e-24
KMQ81406.1,XP_012168908.1,5e-24
KMQ81407.1,XP_003392971.1,1e-60
KMQ81422.1,XP_003400415.1,1e-09
KMQ81428.1,XP_012174031.1,4e-05
KMQ81431.1,XP_012173065.1,2e-60
KMQ81433.1,XP_012167284.1,2e-12
KMQ81435.1,XP_012174699.1,1e-09
KMQ81439.1,XP_003399765.2,2e-32
KMQ81446.1,XP_003393867.1,3e-62
KMQ81452.1,XP_012164239.1,1e-52
KMQ81455.1,XP_012170889.1,2e-07
KMQ81456.1,XP_003393865.1,4e-72
KMQ81458.1,XP_003402428.1,6e-24
KMQ81467.1,XP_012176549.1,1e-05
KMQ81473.1,XP_003402220.1,2e-28
KMQ81474.1,NP_001267840.1,2e-68
KMQ81476.1,XP_012174539.1,6e-07
KMQ81477.1,XP_012171988.1,1e-17
KMQ81478.1,XP_012168290.1,3e-18
KMQ81478.1,XP_012168290.1,4e-09
KMQ81479.1,XP_012174864.1,4e-06
KMQ81481.1,XP_012165422.1,2e-13
KMQ81486.1,XP_003398559.1,1e-60
KMQ81491.1,XP_003394304.1,3e-39
KMQ81495.1,XP_003395379.1,2e-58
KMQ81501.1,XP_012164716.1,5e-07
KMQ81502.1,XP_003399056.1,2e-05
KMQ81503.1,XP_012164799.1,1e-15
KMQ81504.1,XP_003402244.1,2e-08
KMQ81504.1,XP_003402244.1,1e-06
KMQ81504.1,XP_003402244.1,2e-05
KMQ81505.1,XP_012164720.1,5e-05
KMQ81507.1,XP_012171986.1,7e-07
KMQ81508.1,XP_012172861.1,2e-07
KMQ81511.1,XP_012167857.1,3e-12
KMQ81519.1,XP_003398424.1,2e-12
KMQ81527.1,XP_012164720.1,1e-20
KMQ81532.1,XP_012175273.1,1e-05
KMQ81540.1,XP_012174527.1,1e-13
KMQ81545.1,XP_012174528.1,4e-12
KMQ81546.1,XP_012174539.1,2e-29
KMQ81547.1,XP_012174411.1,4e-05
KMQ81550.1,XP_012171986.1,5e-09
KMQ81552.1,XP_012174699.1,5e-14
KMQ81554.1,XP_003400954.1,2e-34
KMQ81555.1,XP_012168750.1,2e-05
KMQ81556.1,XP_012175169.1,2e-88
KMQ81561.1,XP_012168080.1,2e-17
KMQ81562.1,XP_012171599.1,6e-14
KMQ81568.1,XP_003398294.1,4e-05
KMQ81570.1,XP_012174211.1,3e-20
KMQ81572.1,XP_012173374.1,2e-76
KMQ81572.1,XP_012173374.1,2e-07
KMQ81573.1,XP_012175268.1,7e-09
KMQ81575.1,XP_003399441.1,4e-20
KMQ81577.1,XP_012173997.1,2e-35
KMQ81578.1,XP_012174528.1,2e-08
KMQ81581.1,XP_003400181.1,2e-05
KMQ81587.1,XP_012169789.1,2e-33
KMQ81590.1,XP_012173997.1,1e-20
KMQ81591.1,XP_003403381.2,1e-48
KMQ81592.1,XP_012166717.1,6e-14
KMQ81597.1,XP_012173997.1,1e-22
KMQ81600.1,XP_003394749.1,2e-12
KMQ81608.1,XP_012163412.1,1e-32
KMQ81608.1,XP_012163412.1,3e-28
KMQ81608.1,XP_012163412.1,6e-28
KMQ81608.1,XP_012163412.1,1e-27
KMQ81608.1,XP_012163412.1,5e-26
KMQ81608.1,XP_012163412.1,8e-26
KMQ81608.1,XP_012163412.1,9e-26
KMQ81608.1,XP_012163412.1,2e-24
KMQ81608.1,XP_012163412.1,2e-21
KMQ81608.1,XP_012163412.1,7e-19
KMQ81608.1,XP_012163412.1,6e-18
KMQ81608.1,XP_012163412.1,6e-17
KMQ81608.1,XP_012163412.1,1e-14
KMQ81608.1,XP_012163412.1,6e-12
KMQ81608.1,XP_012163412.1,2e-09
KMQ81608.1,XP_012163412.1,4e-07
KMQ81608.1,XP_012163412.1,2e-06
KMQ81608.1,XP_012163412.1,5e-06
KMQ81608.1,XP_012163412.1,2e-05
KMQ81614.1,XP_012175449.1,9e-66
KMQ81615.1,XP_012164720.1,7e-13
KMQ81620.1,XP_012166717.1,2e-37
KMQ81621.1,XP_003399611.1,1e-08
KMQ81622.1,XP_012166717.1,3e-33
KMQ81626.1,XP_003393385.1,6e-64
KMQ81631.1,XP_003394468.1,3e-33
KMQ81631.1,XP_003394468.1,6e-26
KMQ81638.1,XP_003395930.1,5e-36
KMQ81645.1,XP_012167689.1,2e-78
KMQ81647.1,XP_012172657.1,7e-38
KMQ81648.1,XP_012164720.1,3e-35
KMQ81653.1,XP_012176290.1,2e-10
KMQ81655.1,XP_012175227.1,7e-05
KMQ81659.1,XP_012176065.1,6e-68
KMQ81662.1,XP_003399779.1,1e-24
KMQ81664.1,XP_012171189.1,4e-10
KMQ81665.1,XP_012169145.1,2e-29
KMQ81669.1,XP_012172421.1,4e-07
KMQ81672.1,XP_003397153.1,1e-22
KMQ81673.1,XP_012175455.1,2e-05
KMQ81674.1,XP_012176307.1,2e-36
KMQ81675.1,XP_012173831.1,5e-13
KMQ81679.1,XP_012174539.1,1e-46
KMQ81689.1,XP_012174538.1,8e-11
KMQ81693.1,XP_012170264.1,4e-06
KMQ81696.1,XP_003398461.1,3e-11
KMQ81708.1,XP_012175449.1,4e-63
KMQ81712.1,XP_012175060.1,3e-39
KMQ81720.1,XP_012173830.1,2e-58
KMQ81725.1,XP_012174411.1,1e-26
KMQ81727.1,XP_012175455.1,3e-12
KMQ81728.1,XP_012169718.1,6e-14
KMQ81731.1,XP_012169508.1,3e-07
KMQ81741.1,XP_012176306.1,9e-21
KMQ81742.1,XP_012174005.1,6e-14
KMQ81744.1,XP_012164867.1,5e-52
KMQ81744.1,XP_012164867.1,7e-07
KMQ81744.1,XP_012164867.1,8e-05
KMQ81750.1,XP_012174411.1,1e-07
KMQ81752.1,XP_003396313.1,4e-34
KMQ81754.1,XP_003401691.1,4e-25
KMQ81762.1,XP_012172982.1,4e-44
KMQ81763.1,XP_012166669.1,1e-15
KMQ81766.1,XP_003396114.1,5e-22
KMQ81771.1,XP_012171989.1,2e-28
KMQ81775.1,XP_012163997.1,1e-46
KMQ81776.1,XP_012172982.1,6e-40
KMQ81783.1,XP_012168080.1,4e-23
KMQ81786.1,XP_012176306.1,1e-28
KMQ81791.1,XP_012175268.1,2e-05
KMQ81797.1,XP_012169328.1,1e-56
KMQ81800.1,XP_012166934.1,4e-06
KMQ81801.1,XP_012167635.1,1e-61
KMQ81802.1,XP_003400142.1,1e-34
KMQ81803.1,XP_012175449.1,9e-73
KMQ81804.1,XP_012173997.1,2e-05
KMQ81805.1,XP_012173997.1,4e-15
KMQ81811.1,XP_012164720.1,5e-08
KMQ81812.1,XP_012170677.1,1e-22
KMQ81817.1,XP_003402166.1,3e-16
KMQ81824.1,XP_012166572.1,1e-33
KMQ81825.1,XP_012172982.1,6e-33
KMQ81827.1,XP_012173830.1,2e-29
KMQ81838.1,XP_012175060.1,5e-22
KMQ81841.1,XP_003395809.2,5e-08
KMQ81842.1,XP_012174870.1,8e-32
KMQ81843.1,XP_012173830.1,2e-24
KMQ81844.1,XP_012174221.1,3e-55
KMQ81853.1,XP_012175519.1,9e-07
KMQ81854.1,XP_012169820.1,1e-19
