am,lf,evalue
726912,TRINITY_DN7923_c0_g1,1e-09
408626,TRINITY_DN11659_c0_g1,0.0
551678,TRINITY_DN11484_c1_g2,2e-88
102656058,TRINITY_DN13328_c0_g1,2e-16
551646,TRINITY_DN13328_c0_g1,1e-12
410766,TRINITY_DN11601_c0_g1,0.0
100578031,TRINITY_DN12483_c0_g1,8e-166
726788,TRINITY_DN8881_c0_g1,4e-82
102656362,TRINITY_DN12039_c0_g1,3e-124
410767,TRINITY_DN11799_c0_g2,0.0
726756,TRINITY_DN10994_c0_g1,6e-126
100578334,TRINITY_DN2863_c0_g1,5e-43
100216325,TRINITY_DN9645_c3_g1,5e-53
410769,TRINITY_DN13100_c0_g1,0.0
100577692,TRINITY_DN13997_c0_g1,1e-123
410771,TRINITY_DN13169_c0_g1,0.0
100578600,TRINITY_DN12267_c0_g1,0.0
726446,TRINITY_DN8761_c0_g1,5e-21
100578621,TRINITY_DN8756_c0_g1,6e-177
102655546,TRINITY_DN12580_c0_g1,7e-08
410772,TRINITY_DN10103_c0_g1,0.0
726544,TRINITY_DN8106_c0_g1,3e-149
726544,TRINITY_DN8106_c0_g1,2e-140
410663,TRINITY_DN7550_c0_g1,5e-80
408565,TRINITY_DN13595_c0_g1,0.0
410664,TRINITY_DN27987_c0_g1,0.0
102655627,TRINITY_DN5621_c0_g1,2e-31
726450,TRINITY_DN4284_c0_g1,5e-179
408567,TRINITY_DN3282_c0_g1,0.0
410665,TRINITY_DN8982_c0_g1,0.0
551448,TRINITY_DN8067_c0_g1,0.0
726145,TRINITY_DN7401_c0_g1,1e-126
551555,TRINITY_DN10558_c0_g2,0.0
551580,TRINITY_DN10558_c0_g1,2e-47
102654908,TRINITY_DN14195_c1_g2,3e-69
727299,TRINITY_DN13846_c0_g1,0.0
409438,TRINITY_DN11818_c0_g1,0.0
725316,TRINITY_DN11492_c0_g1,2e-98
412423,TRINITY_DN8090_c0_g1,0.0
727290,TRINITY_DN10886_c0_g1,1e-64
411808,TRINITY_DN14238_c2_g1,0.0
411675,TRINITY_DN2745_c0_g1,0.0
412925,TRINITY_DN13651_c0_g1,0.0
100578696,TRINITY_DN13651_c0_g1,0.0
727019,TRINITY_DN37255_c0_g1,7e-66
552163,TRINITY_DN12397_c0_g2,3e-117
552184,TRINITY_DN9348_c0_g3,0.0
409479,TRINITY_DN12827_c0_g1,1e-140
552064,TRINITY_DN14118_c0_g2,0.0
412118,TRINITY_DN1481_c0_g1,0.0
727331,TRINITY_DN12855_c0_g1,0.0
409999,TRINITY_DN11495_c0_g1,4e-95
413834,TRINITY_DN6589_c0_g1,0.0
100578362,TRINITY_DN6589_c0_g1,5e-51
413835,TRINITY_DN11928_c1_g2,1e-50
409852,TRINITY_DN12277_c1_g1,0.0
725041,TRINITY_DN9214_c0_g1,0.0
725041,TRINITY_DN9214_c0_g1,8e-09
411665,TRINITY_DN7219_c0_g1,2e-158
100578066,TRINITY_DN5583_c0_g1,0.0
409931,TRINITY_DN10366_c0_g2,0.0
409930,TRINITY_DN21136_c0_g1,6e-39
725306,TRINITY_DN8636_c0_g1,0.0
725343,TRINITY_DN14000_c2_g3,0.0
724372,TRINITY_DN160_c0_g2,3e-65
551204,TRINITY_DN3033_c0_g2,7e-148
100577325,TRINITY_DN12618_c1_g1,2e-81
724537,TRINITY_DN4073_c0_g1,0.0
409327,TRINITY_DN36490_c0_g1,4e-99
724679,TRINITY_DN814_c0_g1,9e-76
102654789,TRINITY_DN37150_c0_g1,5e-65
408625,TRINITY_DN9832_c0_g1,0.0
100577077,TRINITY_DN13065_c1_g1,0.0
410765,TRINITY_DN19385_c0_g1,9e-06
100576088,TRINITY_DN7316_c1_g1,4e-29
410763,TRINITY_DN4434_c0_g1,6e-164
724874,TRINITY_DN14001_c0_g2,3e-59
100576789,TRINITY_DN23359_c0_g1,7e-12
100576789,TRINITY_DN23359_c0_g1,2e-06
100576789,TRINITY_DN23359_c0_g1,2e-05
724948,TRINITY_DN12992_c0_g2,0.0
100576700,TRINITY_DN13295_c0_g1,1e-136
725043,TRINITY_DN9047_c0_g1,1e-41
724992,TRINITY_DN10961_c0_g1,2e-90
100576147,TRINITY_DN33194_c0_g1,2e-28
724906,TRINITY_DN23571_c0_g1,5e-66
410761,TRINITY_DN27909_c0_g1,7e-16
408623,TRINITY_DN13409_c1_g2,0.0
412834,TRINITY_DN7840_c0_g1,0.0
725647,TRINITY_DN2760_c0_g1,3e-167
102655778,TRINITY_DN6673_c0_g1,0.0
412578,TRINITY_DN8337_c0_g1,1e-102
411985,TRINITY_DN9262_c0_g1,0.0
726291,TRINITY_DN11498_c0_g1,0.0
412000,TRINITY_DN13450_c0_g1,0.0
552162,TRINITY_DN11787_c0_g1,4e-163
551450,TRINITY_DN34338_c0_g1,2e-96
724375,TRINITY_DN27909_c0_g1,0.0
724331,TRINITY_DN9796_c0_g1,0.0
102655654,TRINITY_DN5578_c0_g1,4e-55
724238,TRINITY_DN14460_c0_g1,4e-104
551279,TRINITY_DN7213_c0_g1,1e-102
408624,TRINITY_DN11936_c0_g1,0.0
727419,TRINITY_DN13990_c2_g1,3e-64
550716,TRINITY_DN13990_c3_g1,0.0
725884,TRINITY_DN5883_c0_g1,1e-38
725378,TRINITY_DN7873_c0_g1,0.0
550706,TRINITY_DN13067_c0_g1,0.0
412473,TRINITY_DN10378_c0_g1,1e-120
102655618,TRINITY_DN7450_c0_g1,0.0
413784,TRINITY_DN13566_c0_g1,0.0
412610,TRINITY_DN2869_c0_g2,0.0
724901,TRINITY_DN27677_c0_g1,0.0
725638,TRINITY_DN14241_c0_g2,5e-81
412016,TRINITY_DN9782_c0_g2,0.0
412017,TRINITY_DN492_c0_g2,0.0
100578752,TRINITY_DN8507_c0_g1,3e-170
726810,TRINITY_DN9746_c0_g2,1e-13
726810,TRINITY_DN9746_c0_g2,2e-09
727399,TRINITY_DN13672_c0_g1,0.0
726015,TRINITY_DN4878_c0_g2,2e-149
725982,TRINITY_DN11790_c0_g1,0.0
411968,TRINITY_DN13673_c0_g1,8e-150
411968,TRINITY_DN13673_c0_g1,9e-25
411968,TRINITY_DN13673_c0_g1,1e-05
725922,TRINITY_DN13673_c0_g1,2e-130
725922,TRINITY_DN13673_c0_g1,1e-12
408622,TRINITY_DN1779_c0_g1,0.0
410757,TRINITY_DN2714_c0_g2,0.0
410758,TRINITY_DN9047_c0_g1,2e-73
100578847,TRINITY_DN10916_c0_g1,4e-51
409780,TRINITY_DN10279_c0_g1,0.0
408618,TRINITY_DN13749_c1_g1,0.0
100578042,TRINITY_DN13680_c1_g1,2e-71
725745,TRINITY_DN8695_c0_g1,0.0
102656395,TRINITY_DN11561_c0_g1,2e-08
725720,TRINITY_DN9625_c0_g1,0.0
412511,TRINITY_DN8223_c0_g1,0.0
552676,TRINITY_DN9810_c0_g1,1e-168
725574,TRINITY_DN10703_c0_g1,4e-41
725532,TRINITY_DN10703_c0_g1,4e-41
413950,TRINITY_DN9206_c0_g1,0.0
725418,TRINITY_DN28581_c0_g1,3e-63
552648,TRINITY_DN9062_c0_g1,6e-165
725317,TRINITY_DN1576_c0_g1,0.0
552628,TRINITY_DN8261_c0_g1,7e-59
414037,TRINITY_DN11941_c0_g1,9e-84
552602,TRINITY_DN7986_c0_g1,1e-116
414038,TRINITY_DN9084_c1_g2,1e-132
413437,TRINITY_DN13485_c0_g1,9e-144
724578,TRINITY_DN6693_c0_g1,2e-168
409584,TRINITY_DN5262_c0_g1,0.0
552083,TRINITY_DN14033_c0_g1,6e-113
551909,TRINITY_DN10588_c0_g1,0.0
551892,TRINITY_DN11592_c1_g1,0.0
100577454,TRINITY_DN10182_c0_g1,0.0
551842,TRINITY_DN24328_c0_g1,0.0
100577369,TRINITY_DN1571_c0_g1,0.0
409290,TRINITY_DN18821_c0_g1,3e-84
100578513,TRINITY_DN6819_c0_g1,5e-92
726685,TRINITY_DN12092_c0_g2,1e-100
412107,TRINITY_DN5730_c0_g1,0.0
551531,TRINITY_DN6421_c0_g1,0.0
413244,TRINITY_DN9560_c0_g1,0.0
102654398,TRINITY_DN4800_c0_g1,2e-50
102656551,TRINITY_DN32114_c0_g1,9e-45
724902,TRINITY_DN10515_c0_g1,9e-168
414017,TRINITY_DN11919_c0_g2,0.0
411799,TRINITY_DN5498_c0_g1,0.0
551388,TRINITY_DN13140_c0_g1,0.0
724795,TRINITY_DN36857_c0_g2,2e-156
102654159,TRINITY_DN11469_c0_g1,7e-27
724720,TRINITY_DN11469_c0_g1,3e-115
551321,TRINITY_DN9629_c2_g1,3e-137
724535,TRINITY_DN13465_c3_g3,0.0
412319,TRINITY_DN9979_c0_g1,0.0
102653893,TRINITY_DN24288_c0_g1,0.0
408621,TRINITY_DN27875_c0_g1,5e-133
408620,TRINITY_DN13954_c1_g2,0.0
102653658,TRINITY_DN29230_c0_g1,2e-44
408619,TRINITY_DN10064_c1_g1,0.0
724233,TRINITY_DN2304_c0_g1,2e-82
100576626,TRINITY_DN9529_c0_g1,2e-18
408613,TRINITY_DN13697_c0_g1,0.0
410751,TRINITY_DN7811_c0_g1,2e-67
410752,TRINITY_DN12480_c1_g2,2e-75
408614,TRINITY_DN10296_c0_g1,6e-109
410753,TRINITY_DN7683_c0_g1,5e-136
551202,TRINITY_DN8043_c0_g1,0.0
408615,TRINITY_DN6354_c0_g1,0.0
412528,TRINITY_DN12153_c0_g1,0.0
552743,TRINITY_DN8384_c0_g2,3e-85
551383,TRINITY_DN32552_c0_g1,1e-140
410754,TRINITY_DN9009_c1_g1,7e-165
100578324,TRINITY_DN10954_c0_g1,1e-16
408616,TRINITY_DN10971_c0_g1,0.0
550903,TRINITY_DN11016_c0_g1,0.0
412282,TRINITY_DN11811_c0_g2,0.0
725816,TRINITY_DN7110_c0_g1,1e-162
550789,TRINITY_DN7110_c0_g1,3e-142
551411,TRINITY_DN36378_c0_g1,3e-72
551443,TRINITY_DN14032_c0_g1,2e-41
727479,TRINITY_DN14032_c0_g1,0.0
551819,TRINITY_DN9579_c0_g2,5e-171
102656812,TRINITY_DN9579_c1_g1,1e-95
412141,TRINITY_DN28283_c0_g1,0.0
725841,TRINITY_DN35937_c0_g1,5e-145
552240,TRINITY_DN10231_c0_g3,0.0
412397,TRINITY_DN13127_c0_g1,0.0
726088,TRINITY_DN14135_c0_g1,0.0
552636,TRINITY_DN12913_c0_g1,2e-155
726449,TRINITY_DN7014_c0_g1,8e-71
409468,TRINITY_DN13812_c0_g1,0.0
410043,TRINITY_DN5147_c0_g1,0.0
413735,TRINITY_DN10789_c0_g1,3e-107
726221,TRINITY_DN13373_c0_g1,5e-35
726298,TRINITY_DN11437_c0_g1,0.0
412523,TRINITY_DN8238_c0_g1,8e-180
102655057,TRINITY_DN10194_c0_g3,8e-06
724328,TRINITY_DN12200_c0_g1,9e-100
409957,TRINITY_DN10910_c0_g1,0.0
724234,TRINITY_DN12061_c0_g1,0.0
