bt,am,evalue
NP_001267818.1,NP_001267818.1,0.0
NP_001267823.1,NP_001267823.1,0.0
NP_001267828.1,NP_001267828.1,3e-112
NP_001267830.1,NP_001267830.1,7e-118
NP_001267833.1,NP_001267833.1,3e-97
NP_001267835.1,NP_001267835.1,0.0
NP_001267838.1,NP_001267838.1,1e-65
NP_001267840.1,NP_001267840.1,0.0
NP_001267845.1,NP_001267845.1,3e-147
NP_001267847.1,NP_001267847.1,0.0
NP_001267850.1,NP_001267850.1,0.0
NP_001267853.1,NP_001267853.1,0.0
NP_001267855.1,NP_001267855.1,1e-180
NP_001267859.1,XP_012169516.1,0.0
NP_001267862.1,NP_001267862.1,0.0
NP_001267865.1,NP_001267865.1,0.0
NP_001272327.1,XP_012163185.1,0.0
NP_001273373.1,XP_012163184.1,0.0
NP_001274492.1,XP_012163183.1,0.0
NP_001274494.1,XP_003403294.1,0.0
NP_001291369.1,XP_012174017.1,0.0
XP_003392860.1,XP_003392860.1,0.0
XP_003392861.1,XP_012165612.1,0.0
XP_003392862.1,XP_003392862.1,0.0
XP_003392863.1,XP_003392863.1,9e-138
XP_003392864.1,XP_003392864.1,0.0
XP_003392865.1,XP_003392865.1,0.0
XP_003392868.1,XP_003392868.1,4e-89
XP_003392871.1,XP_012167137.1,0.0
XP_003392873.1,XP_012167457.1,1e-133
XP_003392875.1,XP_003392875.1,2e-103
XP_003392876.1,XP_003392877.1,7e-114
XP_003392877.1,XP_003392877.1,7e-114
XP_003392880.2,XP_003392880.2,0.0
XP_003392881.1,XP_003392881.1,3e-64
XP_003392882.1,XP_003392882.1,0.0
XP_003392883.1,XP_003392883.1,0.0
XP_003392884.1,XP_003392884.1,0.0
XP_003392885.1,XP_012168921.1,0.0
XP_003392886.1,XP_003392886.1,2e-133
XP_003392887.1,XP_003392887.1,3e-119
XP_003392888.1,XP_003392888.1,0.0
XP_003392889.1,XP_003392889.1,0.0
XP_003392892.1,XP_003392892.1,0.0
XP_003392893.1,XP_003392893.1,0.0
XP_003392894.1,XP_003392894.1,0.0
XP_003392895.1,XP_012170068.1,2e-172
XP_003392897.2,XP_003392897.2,0.0
XP_003392898.1,XP_003392898.1,0.0
XP_003392902.2,XP_003392902.2,0.0
XP_003392903.1,XP_003392903.1,0.0
XP_003392904.1,XP_003392904.1,0.0
XP_003392905.2,XP_003392905.2,0.0
XP_003392910.1,XP_003392910.1,7e-125
XP_003392919.1,XP_003392919.1,0.0
XP_003392920.1,XP_003392920.1,0.0
XP_003392923.1,XP_012175805.1,0.0
XP_003392925.1,XP_003392925.1,0.0
XP_003392926.1,XP_012176020.1,0.0
XP_003392928.1,XP_012176282.1,0.0
XP_003392929.1,XP_003392929.1,0.0
XP_003392930.1,XP_003392930.1,0.0
XP_003392931.1,XP_003392931.1,0.0
XP_003392932.1,XP_003392932.1,0.0
XP_003392933.1,XP_012163667.1,8e-115
XP_003392935.1,XP_003392935.1,0.0
XP_003392936.1,XP_003392936.1,0.0
XP_003392938.1,XP_003392938.1,0.0
XP_003392942.1,XP_003392942.1,0.0
XP_003392943.1,XP_003392943.1,2e-152
XP_003392944.1,XP_003392944.1,6e-122
XP_003392945.1,XP_003392945.1,2e-113
XP_003392947.1,XP_003392947.1,0.0
XP_003392950.1,XP_012173555.1,0.0
XP_003392951.1,XP_003392951.1,0.0
XP_003392952.1,XP_003392952.1,0.0
XP_003392953.1,XP_012174239.1,0.0
XP_003392954.1,XP_003392954.1,0.0
XP_003392955.1,XP_003392955.1,0.0
XP_003392957.1,XP_003392957.1,0.0
XP_003392959.1,XP_003392959.1,0.0
XP_003392960.1,XP_012175179.1,0.0
XP_003392961.1,XP_003392961.1,0.0
XP_003392963.1,XP_003392963.1,0.0
XP_003392964.1,XP_012166136.1,8e-67
XP_003392965.1,XP_012164275.1,3e-95
XP_003392968.1,XP_003392968.1,1e-83
XP_003392969.1,XP_012164275.1,3e-95
XP_003392970.1,XP_012166136.1,8e-67
XP_003392971.1,XP_003392971.1,8e-84
XP_003392977.1,XP_003392977.1,0.0
XP_003392978.1,XP_003392978.1,6e-130
XP_003392979.1,XP_012175971.1,0.0
XP_003392980.1,XP_003392980.1,0.0
