am,ln,evalue
726912,RF55_3301,4e-11
408626,RF55_18324,0.0
551678,RF55_162,9e-88
102656058,RF55_1251,5e-17
102656058,RF55_1251,2e-09
551646,RF55_1251,8e-14
551646,RF55_1251,2e-12
551646,RF55_1251,7e-10
410766,RF55_1252,0.0
100578031,RF55_1250,4e-167
726788,RF55_10434,8e-81
102656362,RF55_13831,2e-124
410767,RF55_2743,0.0
726756,RF55_5342,1e-122
100578334,RF55_17205,2e-15
100216325,RF55_2066,1e-50
410769,RF55_2067,0.0
100577692,RF55_341,5e-152
100577692,RF55_341,1e-41
102654047,RF55_592,2e-25
410771,RF55_2122,0.0
100578600,RF55_1232,0.0
726446,RF55_12146,2e-21
100578621,RF55_2043,0.0
102655546,RF55_6580,0.0
410772,RF55_6581,0.0
726544,RF55_9358,4e-154
726544,RF55_9358,2e-94
410663,RF55_5875,3e-78
408565,RF55_5876,0.0
410664,RF55_755,0.0
726450,RF55_4479,2e-109
408567,RF55_11509,0.0
410665,RF55_8947,0.0
551448,RF55_8948,5e-150
726145,RF55_4715,1e-45
726145,RF55_4715,1e-26
551555,RF55_4714,7e-172
102654908,RF55_21562,1e-25
727299,RF55_12591,5e-143
727299,RF55_12591,4e-05
409438,RF55_2027,0.0
725316,RF55_9950,1e-98
412423,RF55_2026,0.0
727290,RF55_2025,0.0
411808,RF55_5773,0.0
411675,RF55_5771,0.0
412925,RF55_5445,0.0
100578696,RF55_5443,5e-107
727019,RF55_8038,3e-67
552163,RF55_1081,2e-118
552184,RF55_1080,9e-55
552184,RF55_1080,6e-10
409479,RF55_12938,2e-142
552064,RF55_1084,0.0
726902,RF55_1928,2e-41
412118,RF55_4846,0.0
727331,RF55_4845,0.0
409999,RF55_5703,4e-89
409999,RF55_5703,3e-60
413834,RF55_7526,0.0
100578362,RF55_18486,8e-40
413835,RF55_1253,3e-51
409852,RF55_5035,0.0
725041,RF55_8094,0.0
725041,RF55_8094,4e-09
411665,RF55_17450,5e-129
100578066,RF55_5417,0.0
409931,RF55_9843,0.0
409930,RF55_9842,9e-38
725306,RF55_12053,0.0
725343,RF55_1643,1e-19
724372,RF55_2370,2e-64
551204,RF55_2371,6e-147
100577325,RF55_3834,6e-87
724537,RF55_4770,0.0
409327,RF55_4772,2e-95
724679,RF55_14824,2e-33
102654789,RF55_1762,3e-175
408625,RF55_5570,0.0
100577077,RF55_4734,0.0
100576088,RF55_4733,7e-21
410763,RF55_551,3e-163
724874,RF55_2823,4e-56
100576789,RF55_9878,1e-12
100576789,RF55_9878,9e-06
724948,RF55_8366,0.0
100576700,RF55_11068,2e-15
100576537,RF55_2281,2e-18
725043,RF55_346,4e-42
724992,RF55_1327,4e-90
100576147,RF55_2472,4e-146
724906,RF55_6889,5e-66
410761,RF55_16738,3e-24
408623,RF55_7048,5e-114
412834,RF55_4998,0.0
412834,RF55_4998,5e-113
725647,RF55_4997,9e-168
102655778,RF55_4581,0.0
412578,RF55_503,8e-103
411985,RF55_11318,0.0
726316,RF55_7633,6e-42
726291,RF55_7634,0.0
726291,RF55_7634,7e-09
726291,RF55_7634,4e-08
726291,RF55_7634,9e-07
412000,RF55_1930,0.0
552162,RF55_6347,2e-161
551450,RF55_6346,0.0
724375,RF55_16738,0.0
724331,RF55_12914,0.0
102655654,RF55_2655,2e-59
724238,RF55_1108,9e-126
100576540,RF55_864,7e-109
551279,RF55_7399,4e-102
408624,RF55_7400,0.0
727419,RF55_4683,2e-57
550716,RF55_4682,0.0
725884,RF55_292,1e-36
725378,RF55_9597,0.0
550706,RF55_7590,0.0
102655618,RF55_5371,0.0
413784,RF55_5369,6e-111
412610,RF55_1827,0.0
412610,RF55_1827,6e-131
724901,RF55_7542,0.0
412016,RF55_11384,0.0
412017,RF55_11383,2e-139
100578752,RF55_3486,2e-120
726810,RF55_3485,8e-16
727399,RF55_9427,0.0
725982,RF55_1010,0.0
411968,RF55_1009,5e-134
411968,RF55_1009,2e-90
725922,RF55_1008,2e-90
725922,RF55_1008,4e-13
725922,RF55_1008,3e-09
408622,RF55_1007,0.0
410757,RF55_1006,0.0
410758,RF55_2671,0.0
100578847,RF55_5999,8e-58
409780,RF55_4138,1e-65
409780,RF55_4138,3e-12
408618,RF55_2051,0.0
408618,RF55_2051,6e-170
100578042,RF55_9092,7e-72
725745,RF55_471,0.0
102656395,RF55_472,1e-67
725720,RF55_7009,3e-122
100578247,RF55_8262,1e-08
412511,RF55_10967,7e-161
412511,RF55_10967,4e-16
552676,RF55_10968,4e-169
725574,RF55_3087,6e-139
725532,RF55_3087,1e-166
413950,RF55_490,0.0
413950,RF55_490,9e-25
725418,RF55_489,1e-63
552648,RF55_9128,3e-160
725317,RF55_9129,0.0
414037,RF55_15200,5e-103
552602,RF55_10209,2e-119
414038,RF55_10208,2e-128
413437,RF55_10207,2e-135
724578,RF55_9251,9e-130
409584,RF55_4793,0.0
552083,RF55_9157,5e-112
551909,RF55_11462,6e-135
551892,RF55_5280,0.0
100577454,RF55_8529,0.0
551842,RF55_5214,0.0
100577369,RF55_2108,2e-166
409290,RF55_11112,1e-82
100578513,RF55_3948,1e-180
726685,RF55_1147,3e-175
412107,RF55_5491,2e-111
551531,RF55_5492,0.0
413244,RF55_584,0.0
102654398,RF55_6104,8e-11
102656551,RF55_585,1e-55
724902,RF55_9367,1e-148
414017,RF55_2449,0.0
411799,RF55_3704,0.0
551388,RF55_5391,2e-22
724795,RF55_7472,0.0
102654159,RF55_8984,4e-14
724720,RF55_6777,7e-117
551321,RF55_8180,3e-136
724535,RF55_7791,1e-08
102653920,RF55_8227,4e-68
412319,RF55_15360,0.0
102653893,RF55_8882,7e-84
408621,RF55_4061,2e-46
408621,RF55_4061,2e-26
408620,RF55_4060,1e-162
408619,RF55_670,0.0
724233,RF55_669,3e-72
408613,RF55_1934,0.0
410751,RF55_1935,4e-72
410752,RF55_18110,1e-122
408614,RF55_15754,2e-56
410753,RF55_9217,3e-137
551202,RF55_1930,0.0
408615,RF55_548,0.0
412528,RF55_1046,0.0
551383,RF55_2100,1e-43
410754,RF55_2099,7e-165
100578324,RF55_2098,6e-28
408616,RF55_766,0.0
550903,RF55_766,0.0
412282,RF55_767,0.0
725816,RF55_768,6e-161
550789,RF55_768,5e-141
551411,RF55_770,6e-74
727479,RF55_3929,1e-141
727479,RF55_3929,7e-25
551819,RF55_7163,5e-07
412141,RF55_10991,4e-159
725841,RF55_8268,4e-162
552240,RF55_2432,0.0
412397,RF55_6023,0.0
412397,RF55_6023,2e-23
726088,RF55_6022,0.0
552636,RF55_13763,3e-156
726449,RF55_3160,9e-78
409468,RF55_10293,8e-159
410043,RF55_10382,0.0
413735,RF55_7174,4e-81
726298,RF55_8638,1e-143
412523,RF55_11301,3e-95
102655057,RF55_4009,7e-06
724328,RF55_3273,7e-60
409957,RF55_3165,0.0
551154,RF55_3164,0.0
724115,RF55_11826,0.0
727538,RF55_5098,3e-77
727539,RF55_5098,2e-133
412480,RF55_6320,1e-36
727087,RF55_1931,1e-73
100578907,RF55_1932,9e-177
727079,RF55_1933,3e-163
552052,RF55_1540,2e-58
552052,RF55_1540,5e-41
413867,RF55_4888,0.0
552001,RF55_14702,0.0
551974,RF55_19472,3e-102
413868,RF55_10397,4e-156
409527,RF55_3841,0.0
409527,RF55_3841,2e-46
412212,RF55_3843,0.0
724455,RF55_8049,0.0
412546,RF55_8048,0.0
412546,RF55_8048,1e-24
409520,RF55_8047,0.0
724536,RF55_9596,9e-70
724585,RF55_7589,7e-39
409360,RF55_3392,5e-115
724634,RF55_3390,0.0
412829,RF55_11322,5e-180
724721,RF55_13425,2e-46
412458,RF55_13425,7e-47
413803,RF55_8627,4e-98
100577039,RF55_13067,3e-36
410071,RF55_14882,2e-90
410070,RF55_6450,0.0
414022,RF55_12341,0.0
414021,RF55_15469,0.0
552117,RF55_6179,2e-166
503505,RF55_6180,2e-27
726119,RF55_1136,0.0
726119,RF55_1136,1e-19
409807,RF55_10519,2e-162
552187,RF55_6907,0.0
552206,RF55_6006,0.0
725945,RF55_6005,4e-78
725920,RF55_6004,6e-177
725920,RF55_6004,5e-81
725920,RF55_6004,2e-41
725920,RF55_6004,1e-13
725920,RF55_6004,2e-11
725920,RF55_6004,1e-10
725920,RF55_6004,6e-09
725920,RF55_6004,1e-08
725920,RF55_6004,3e-08
725920,RF55_6004,4e-06
725920,RF55_6004,3e-05
411372,RF55_1827,0.0
552294,RF55_3211,0.0
552316,RF55_3210,0.0
412287,RF55_9312,0.0
552038,RF55_8232,2e-130
725682,RF55_4286,3e-129
410749,RF55_4285,0.0
725606,RF55_4284,8e-164
411600,RF55_4282,0.0
411600,RF55_4282,1e-15
100576291,RF55_3647,0.0
550785,RF55_5206,0.0
725455,RF55_5206,4e-142
725419,RF55_5205,2e-42
100188973,RF55_2955,2e-174
406080,RF55_2956,2e-127
725345,RF55_2956,8e-96
725384,RF55_8818,3e-180
551761,RF55_4376,6e-84
413346,RF55_4375,0.0
100576547,RF55_9543,5e-173
411406,RF55_5043,1e-143
411407,RF55_5044,1e-174
411408,RF55_5045,9e-49
409053,RF55_6424,0.0
724833,RF55_6877,1e-59
102655391,RF55_9799,0.0
409383,RF55_2410,2e-142
412189,RF55_2411,2e-87
102655540,RF55_2412,1e-36
412190,RF55_3597,0.0
411794,RF55_13702,0.0
100576321,RF55_6514,0.0
413693,RF55_6055,2e-05
102655811,RF55_2762,5e-14
410032,RF55_6516,0.0
724327,RF55_17431,5e-24
410033,RF55_14192,1e-70
724280,RF55_14193,6e-58
724192,RF55_805,2e-23
410034,RF55_8446,1e-20
409798,RF55_8446,9e-35
727596,RF55_8553,3e-101
409418,RF55_12610,0.0
409417,RF55_14320,1e-52
409417,RF55_14320,4e-33
412285,RF55_2432,0.0
551416,RF55_933,1e-21
413813,RF55_934,0.0
551384,RF55_3164,0.0
410741,RF55_1557,9e-134
408609,RF55_19068,5e-180
550645,RF55_6835,4e-172
726243,RF55_7110,0.0
410748,RF55_9543,0.0
