lf,am,evalue
TRINITY_DN10000_c0_g1_i1|m.26678,XP_003399704.1,9e-101
TRINITY_DN10001_c0_g1_i1|m.26733,XP_012174363.1,4e-77
TRINITY_DN10001_c1_g1_i1|m.26734,XP_012174363.1,3e-96
TRINITY_DN10002_c0_g1_i1|m.26830,XP_012170008.1,0.0
TRINITY_DN10005_c0_g1_i1|m.26717,XP_012164070.1,0.0
TRINITY_DN10009_c0_g2_i1|m.26762,XP_012171263.1,0.0
TRINITY_DN10012_c0_g2_i1|m.26530,XP_012163074.1,0.0
TRINITY_DN10012_c0_g3_i1|m.26531,XP_012163074.1,4e-63
TRINITY_DN10016_c0_g1_i1|m.26728,XP_003400295.1,0.0
TRINITY_DN10017_c0_g1_i1|m.26730,XP_003392978.1,2e-84
TRINITY_DN10020_c0_g1_i1|m.26845,XP_012167564.1,0.0
TRINITY_DN10021_c0_g2_i1|m.26581,XP_003393807.1,8e-171
TRINITY_DN10021_c0_g3_i1|m.26594,XP_012174858.1,9e-125
TRINITY_DN10022_c0_g1_i1|m.26670,XP_012175268.1,6e-09
TRINITY_DN10022_c0_g1_i1|m.26668,XP_012175336.1,2e-56
TRINITY_DN10022_c0_g1_i1|m.26671,XP_003396199.1,1e-09
TRINITY_DN10022_c0_g1_i1|m.26669,XP_012175268.1,6e-09
TRINITY_DN10024_c0_g1_i1|m.26484,XP_003393545.1,5e-101
TRINITY_DN10025_c1_g1_i1|m.26684,XP_003398221.1,2e-176
TRINITY_DN10025_c2_g1_i1|m.26685,XP_012175579.1,0.0
TRINITY_DN10026_c0_g1_i1|m.26483,XP_012170594.1,0.0
TRINITY_DN10028_c0_g1_i1|m.26605,XP_012173256.1,0.0
TRINITY_DN1002_c0_g1_i1|m.10487,XP_003393900.1,1e-122
TRINITY_DN10033_c0_g1_i1|m.26812,XP_012175578.1,0.0
TRINITY_DN10034_c0_g1_i1|m.26779,XP_012171232.1,0.0
TRINITY_DN10036_c0_g1_i1|m.26776,XP_012168629.1,5e-66
TRINITY_DN10037_c1_g2_i1|m.26665,XP_012171993.1,3e-30
TRINITY_DN10037_c1_g4_i1|m.26666,XP_012171993.1,5e-66
TRINITY_DN1003_c0_g1_i1|m.10485,XP_012169558.1,6e-170
TRINITY_DN10040_c0_g1_i1|m.26496,XP_012166022.1,2e-77
TRINITY_DN10041_c0_g1_i1|m.26773,XP_003399155.1,0.0
TRINITY_DN10045_c0_g1_i1|m.26844,XP_012164081.1,9e-169
TRINITY_DN10046_c0_g1_i1|m.26731,XP_003394580.2,0.0
TRINITY_DN10049_c0_g1_i1|m.26620,XP_012176362.1,3e-79
TRINITY_DN10050_c0_g1_i1|m.26631,XP_012167746.1,0.0
TRINITY_DN10053_c0_g1_i1|m.26610,XP_012174002.1,1e-81
TRINITY_DN10054_c0_g1_i1|m.26552,XP_012172042.1,3e-09
TRINITY_DN10054_c0_g1_i1|m.26552,XP_012172042.1,3e-05
TRINITY_DN10055_c0_g1_i1|m.26497,XP_012170641.1,2e-157
TRINITY_DN10056_c0_g1_i1|m.26534,XP_003400678.1,2e-121
TRINITY_DN10057_c0_g2_i1|m.26700,XP_012170123.1,4e-75
TRINITY_DN10058_c0_g1_i1|m.26757,XP_012165356.1,0.0
TRINITY_DN10059_c0_g1_i1|m.26540,XP_012174248.1,9e-07
TRINITY_DN10061_c0_g1_i1|m.26580,XP_012173770.1,2e-51
TRINITY_DN10062_c0_g1_i1|m.26618,XP_003399181.1,4e-118
TRINITY_DN10064_c1_g1_i1|m.26641,XP_003398928.1,0.0
TRINITY_DN10065_c0_g1_i1|m.26544,XP_012173570.1,3e-178
TRINITY_DN10066_c0_g1_i1|m.26600,XP_012174341.1,0.0
TRINITY_DN10068_c1_g1_i1|m.26725,XP_003399153.1,2e-153
TRINITY_DN10071_c0_g1_i1|m.26785,XP_012169718.1,0.0
TRINITY_DN10072_c0_g1_i1|m.26485,XP_012164854.1,2e-67
TRINITY_DN10072_c0_g2_i1|m.26486,XP_003396132.2,0.0
TRINITY_DN10072_c1_g2_i1|m.26490,XP_012173751.1,5e-141
TRINITY_DN10072_c1_g3_i1|m.26491,XP_012173751.1,5e-141
TRINITY_DN10073_c1_g1_i1|m.26777,XP_012176390.1,3e-160
TRINITY_DN10074_c0_g2_i1|m.26720,XP_003401734.1,0.0
TRINITY_DN10075_c0_g1_i1|m.26514,XP_003395178.1,0.0
TRINITY_DN10075_c0_g1_i1|m.26513,XP_003395178.1,0.0
TRINITY_DN10075_c0_g1_i1|m.26516,XP_012163646.1,7e-62
TRINITY_DN10076_c0_g1_i1|m.26735,XP_012165245.1,5e-70
TRINITY_DN10078_c0_g2_i1|m.26694,XP_012176304.1,0.0
TRINITY_DN10079_c0_g1_i1|m.26554,XP_012163464.1,0.0
TRINITY_DN10081_c0_g2_i1|m.26744,XP_003402492.1,8e-87
TRINITY_DN10081_c1_g1_i1|m.26745,XP_012174103.1,7e-83
TRINITY_DN10081_c1_g2_i1|m.26747,XP_012174103.1,7e-83
TRINITY_DN10081_c1_g3_i1|m.26749,XP_012174103.1,7e-83
TRINITY_DN10081_c2_g1_i1|m.26751,XP_003402493.1,3e-70
TRINITY_DN10082_c0_g2_i1|m.26737,XP_003402515.1,5e-51
TRINITY_DN10082_c0_g4_i1|m.26739,XP_003402516.1,3e-46
TRINITY_DN10083_c0_g1_i1|m.26828,XP_003399403.1,9e-118
TRINITY_DN10084_c0_g2_i1|m.26809,XP_012169864.1,0.0
TRINITY_DN10085_c0_g1_i1|m.26718,XP_012166669.1,9e-06
TRINITY_DN10086_c0_g1_i1|m.26477,XP_012176740.1,2e-75
TRINITY_DN10087_c0_g1_i1|m.26625,XP_012168861.1,0.0
TRINITY_DN10087_c0_g3_i1|m.26628,XP_012168861.1,0.0
TRINITY_DN10091_c0_g1_i1|m.26817,XP_012166555.1,5e-88
TRINITY_DN10092_c0_g1_i1|m.26807,XP_012170885.1,0.0
TRINITY_DN10093_c0_g2_i1|m.26547,XP_012169613.1,6e-70
TRINITY_DN10094_c0_g1_i1|m.26492,XP_012166218.1,0.0
TRINITY_DN10095_c1_g2_i1|m.26803,XP_003399805.1,1e-118
TRINITY_DN10096_c0_g2_i1|m.26679,XP_003399195.1,4e-108
TRINITY_DN10097_c0_g1_i1|m.26805,XP_003394063.1,1e-55
TRINITY_DN10098_c0_g1_i1|m.26549,XP_012164204.1,0.0
TRINITY_DN1009_c0_g1_i1|m.10481,XP_003401258.2,0.0
TRINITY_DN100_c0_g1_i1|m.49643,XP_012166485.1,9e-15
TRINITY_DN100_c0_g2_i1|m.49644,XP_012166485.1,6e-16
TRINITY_DN10102_c0_g1_i1|m.49427,XP_003397418.1,3e-132
TRINITY_DN10102_c0_g2_i1|m.49428,XP_003397418.1,0.0
TRINITY_DN10103_c0_g1_i1|m.49293,XP_003396612.1,0.0
TRINITY_DN10104_c0_g1_i1|m.49315,XP_012163550.1,0.0
TRINITY_DN10105_c0_g1_i1|m.49353,XP_012174323.1,0.0
TRINITY_DN10106_c0_g2_i1|m.49288,XP_012163777.1,0.0
TRINITY_DN10106_c1_g1_i1|m.49290,XP_012165279.1,0.0
TRINITY_DN10107_c0_g1_i1|m.49516,XP_003397557.1,0.0
TRINITY_DN10108_c0_g1_i1|m.49351,XP_003399569.1,0.0
