am,bt,evalue
726912,100652120,8e-150
408626,100651998,0.0
551678,100646260,3e-109
410766,100650687,0.0
100578031,100650813,0.0
102656362,100651130,2e-121
410767,100651250,0.0
726756,100651370,9e-157
100578334,100651487,2e-97
100216325,100642250,4e-70
410769,100651719,0.0
100577692,100651803,0.0
100578571,105665921,3e-88
102654047,105665966,1e-73
410771,100651445,0.0
100578600,100651566,0.0
726446,100647796,9e-58
100578621,100651682,0.0
102655546,100651327,0.0
410772,100642473,3e-18
726544,100650884,0.0
102655580,105665920,7e-118
410663,100650767,2e-102
410664,100650563,0.0
102655627,100650324,8e-35
726450,100649882,0.0
726450,100649882,6e-14
408567,100649997,0.0
410665,100650117,0.0
551448,100644253,0.0
726145,100646708,2e-133
551580,100645164,1e-58
102654908,100650768,3e-73
727299,100650644,0.0
409438,100649292,2e-06
725316,100650404,3e-113
412423,100648137,0.0
727290,100648323,0.0
411808,100652227,0.0
411675,100642199,0.0
412925,100642321,0.0
100578696,100642683,0.0
727019,105666284,5e-101
552163,100647908,0.0
552184,105666302,0.0
409479,105666285,6e-174
552064,100646839,0.0
726902,105666301,3e-50
412118,100647075,0.0
727331,100646959,0.0
409999,100652213,3e-95
413834,100643054,0.0
413835,100647607,9e-81
409852,100650484,0.0
100578245,100650363,7e-75
725041,100650242,0.0
725041,100650242,6e-09
411665,100650546,6e-27
100578066,100649961,0.0
409931,100649844,0.0
409930,100649625,1e-63
725306,100649021,0.0
725343,100649138,0.0
724372,100649380,7e-101
551204,100649259,6e-169
551204,100649259,5e-27
100577325,100649502,1e-126
724537,100648785,0.0
409327,100648676,1e-122
724679,100648363,1e-85
102654789,100650135,2e-166
408625,100648251,0.0
100577077,100648136,0.0
410765,100648023,2e-101
100576088,100647901,5e-54
410763,100647775,0.0
100576954,105665974,3e-16
724874,100647148,2e-134
100576852,100642208,5e-96
102654036,105665942,2e-24
100576820,100646909,6e-07
100576789,100646784,1e-76
100576789,100646784,6e-41
724948,100644211,0.0
100576700,100646539,4e-148
100576537,100652237,3e-89
725043,100651044,7e-40
100576147,100643129,0.0
724906,100643916,4e-67
410761,100651577,0.0
408623,100644028,0.0
412834,100652132,0.0
725647,100643777,7e-179
102655778,100643661,0.0
412578,100643902,1e-103
411985,100643294,0.0
726316,100644264,2e-47
726291,100643416,0.0
100578472,100644144,3e-85
412000,100648484,0.0
552162,100648571,3e-51
100578309,100642615,0.0
551450,100642499,0.0
724375,100642736,0.0
724331,100649422,0.0
102655654,105666767,7e-114
724238,100647828,0.0
100576540,100645733,3e-137
551279,100647711,0.0
408624,100645355,0.0
727419,100645474,2e-104
550716,100645104,0.0
725884,100645225,1e-47
725378,100643924,0.0
550706,100643035,0.0
