gene,age,caste,Dataset S5: A list of honey bee OGS3.2 genes highlighting taxonomic status and caste expression status.,,,,,
GB40001,Insecta,NA,"Taxa: Apis = Apis restricted; Apoidea = Apoidea-restricted, Hymenoptera = Hymenoptera-restricted, Insecta = found in Apis mellifera and at least one other non Hymenopteran insect, N/A = orphan gene; Taxonomic status was based on OrthoDB v.6, Waterhouse RM, Tegenfeldt F, Li J, Zdobnov EM, & Kriventseva EV (2013) OrthoDB: a hierarchical catalog of animal, fungal and bacterial orthologs. Nucleic Acids Res. 41:D358-365.  ",,,,,
GB40002,NA,NA,"Caste Expression data was obtained from Chan QW, Chan MY, Logan M, Fang Y, Higo H & Foster LJ (2013) Honey bee protein atlas at organ-level resolution. Genome Research 23: 1951-1960.  We used Chan et al's supplementary files, specifically data from their ‘qvsw’ column. Q = queen-biased protein and W = worker-biased protein; NDEG = non-differentially expressed protein; N/A: not present in Honey Bee Protein Atlas.",,,,,
GB40005,Insecta,NA,,,,,,
GB40006,Insecta,NA,,,,,,
GB40007,Insecta,NA,,,,,,
GB40008,Insecta,NA,,,,,,
GB40010,Insecta,W,,,,,,
GB40011,Hymenoptera,NA,,,,,,
GB40012,Insecta,NA,,,,,,
GB40013,Insecta,NA,,,,,,
GB40014,Insecta,NA,,,,,,
GB40015,Insecta,NA,,,,,,
GB40016,Insecta,NA,,,,,,
GB40017,Insecta,NA,,,,,,
GB40018,Insecta,NA,,,,,,
GB40019,Insecta,NA,,,,,,
GB40020,Insecta,NDEG,,,,,,
GB40021,Insecta,NDEG,,,,,,
GB40022,Insecta,NA,,,,,,
GB40023,NA,NA,,,,,,
GB40024,NA,NA,,,,,,
GB40025,NA,NA,,,,,,
GB40026,Insecta,NA,,,,,,
GB40027,Insecta,NA,,,,,,
GB40028,Insecta,NA,,,,,,
GB40029,Insecta,NA,,,,,,
GB40030,Insecta,NA,,,,,,
GB40032,Insecta,NA,,,,,,
GB40033,Insecta,NA,,,,,,
GB40034,NA,NA,,,,,,
GB40047,Insecta,NA,,,,,,
GB40053,Insecta,NA,,,,,,
GB40054,Hymenoptera,NA,,,,,,
GB40056,Insecta,NA,,,,,,
GB40057,Insecta,NDEG,,,,,,
GB40060,NA,NA,,,,,,
GB40061,Insecta,NA,,,,,,
GB40063,Insecta,NA,,,,,,
GB40064,Insecta,NA,,,,,,
GB40065,NA,NA,,,,,,
GB40066,NA,NA,,,,,,
GB40067,Insecta,NA,,,,,,
GB40069,Insecta,NA,,,,,,
GB40070,Hymenoptera,NA,,,,,,
GB40071,Insecta,NA,,,,,,
GB40072,Insecta,NDEG,,,,,,
GB40073,Insecta,NA,,,,,,
GB40074,Insecta,NA,,,,,,
GB40075,Insecta,W,,,,,,
GB40076,Insecta,NA,,,,,,
GB40077,Insecta,NDEG,,,,,,
GB40078,NA,NA,,,,,,
GB40079,NA,NA,,,,,,
GB40080,Hymenoptera,NA,,,,,,
GB40081,NA,NA,,,,,,
GB40082,NA,NA,,,,,,
GB40083,Insecta,NA,,,,,,
GB40084,Hymenoptera,NA,,,,,,
GB40085,Insecta,NA,,,,,,
GB40086,Insecta,NDEG,,,,,,
GB40087,Hymenoptera,NA,,,,,,
GB40088,NA,NA,,,,,,
GB40089,Insecta,NA,,,,,,
GB40091,Insecta,NA,,,,,,
GB40092,Apoidea,NA,,,,,,
GB40093,Insecta,NA,,,,,,
GB40094,Hymenoptera,NA,,,,,,
GB40095,Insecta,NA,,,,,,
GB40096,NA,NA,,,,,,
GB40098,Insecta,NA,,,,,,
GB40100,Insecta,NA,,,,,,
GB40101,NA,NA,,,,,,
GB40102,Insecta,NA,,,,,,
GB40103,Hymenoptera,NA,,,,,,
GB40104,NA,NA,,,,,,
GB40105,NA,NA,,,,,,
GB40106,Insecta,NA,,,,,,
GB40107,Insecta,NA,,,,,,
GB40108,Insecta,NA,,,,,,
GB40109,Insecta,NDEG,,,,,,
GB40110,Hymenoptera,NA,,,,,,
GB40111,NA,NA,,,,,,
GB40112,Insecta,NA,,,,,,
GB40113,Insecta,NDEG,,,,,,
GB40114,Insecta,NA,,,,,,
GB40115,NA,NA,,,,,,
GB40116,NA,NA,,,,,,
GB40117,NA,NA,,,,,,
GB40118,Insecta,NDEG,,,,,,
GB40119,Insecta,NDEG,,,,,,
GB40120,Insecta,NA,,,,,,
GB40121,NA,NA,,,,,,
GB40122,Insecta,NA,,,,,,
GB40123,Insecta,NA,,,,,,
GB40124,Insecta,NA,,,,,,
GB40125,NA,NA,,,,,,
GB40126,Insecta,NA,,,,,,
GB40127,NA,NA,,,,,,
GB40128,Insecta,NA,,,,,,
GB40129,Hymenoptera,NA,,,,,,
GB40130,Insecta,NA,,,,,,
GB40131,NA,NA,,,,,,
GB40132,Hymenoptera,NA,,,,,,
GB40133,NA,NA,,,,,,
GB40134,Insecta,NDEG,,,,,,
GB40135,Insecta,NA,,,,,,
GB40136,Insecta,NDEG,,,,,,
GB40137,Insecta,NDEG,,,,,,
GB40138,Insecta,NA,,,,,,
GB40139,Insecta,NA,,,,,,
GB40140,Insecta,NA,,,,,,
GB40141,Insecta,Q,,,,,,
GB40142,Insecta,NA,,,,,,
GB40143,NA,NA,,,,,,
GB40145,Insecta,NA,,,,,,
GB40146,Insecta,NA,,,,,,
GB40147,Insecta,NA,,,,,,
GB40148,Insecta,NA,,,,,,
GB40150,Insecta,NA,,,,,,
GB40151,Insecta,NDEG,,,,,,
GB40153,NA,NA,,,,,,
GB40154,Hymenoptera,NA,,,,,,
GB40155,Insecta,NA,,,,,,
GB40156,NA,NA,,,,,,
GB40157,Insecta,NDEG,,,,,,
GB40158,Insecta,NA,,,,,,
GB40159,Insecta,NA,,,,,,
GB40162,Insecta,NA,,,,,,
GB40163,Insecta,NA,,,,,,
GB40164,Insecta,NA,,,,,,
GB40165,Insecta,NA,,,,,,
GB40166,NA,NA,,,,,,
GB40167,NA,NA,,,,,,
GB40168,Insecta,NA,,,,,,
GB40169,Insecta,NA,,,,,,
GB40170,Apis,NA,,,,,,
GB40182,NA,NA,,,,,,
GB40183,Insecta,NA,,,,,,
GB40184,Hymenoptera,NA,,,,,,
GB40185,Insecta,NA,,,,,,
GB40186,Insecta,NA,,,,,,
GB40187,Insecta,NA,,,,,,
GB40188,Insecta,NA,,,,,,
GB40189,Insecta,NA,,,,,,
GB40190,Insecta,NA,,,,,,
GB40191,Hymenoptera,NA,,,,,,
GB40192,Apoidea,NA,,,,,,
GB40193,Hymenoptera,NA,,,,,,
GB40194,NA,NA,,,,,,
GB40195,Hymenoptera,NA,,,,,,
GB40196,Apoidea,NA,,,,,,
GB40197,Insecta,NA,,,,,,
GB40198,Insecta,NA,,,,,,
GB40199,NA,NA,,,,,,
GB40200,Insecta,NA,,,,,,
GB40201,Hymenoptera,NA,,,,,,
GB40202,Hymenoptera,NA,,,,,,
GB40203,Insecta,NA,,,,,,
GB40205,Insecta,NA,,,,,,
GB40206,Insecta,NA,,,,,,
GB40207,Insecta,NA,,,,,,
GB40208,Insecta,NA,,,,,,
GB40209,Insecta,NA,,,,,,
GB40210,NA,NA,,,,,,
GB40211,Insecta,NA,,,,,,
GB40212,Insecta,NA,,,,,,
GB40213,NA,NA,,,,,,
GB40214,NA,NA,,,,,,
GB40217,Insecta,NA,,,,,,
GB40218,Insecta,NA,,,,,,
GB40219,Hymenoptera,NA,,,,,,
GB40221,Insecta,NA,,,,,,
GB40222,Insecta,NA,,,,,,
GB40223,NA,NA,,,,,,
GB40225,Insecta,NA,,,,,,
GB40226,Hymenoptera,NA,,,,,,
GB40227,Hymenoptera,NA,,,,,,
GB40228,Insecta,NA,,,,,,
GB40229,Hymenoptera,NA,,,,,,
GB40230,Insecta,NA,,,,,,
GB40231,Insecta,NA,,,,,,
GB40232,Insecta,Q,,,,,,
GB40233,Hymenoptera,NA,,,,,,
GB40234,Insecta,NA,,,,,,
GB40237,Insecta,NDEG,,,,,,
GB40238,Insecta,NDEG,,,,,,
GB40239,Insecta,NA,,,,,,
GB40240,Insecta,NDEG,,,,,,
GB40253,NA,NA,,,,,,
GB40259,Insecta,NDEG,,,,,,
GB40261,Insecta,NDEG,,,,,,
GB40263,Hymenoptera,NA,,,,,,
GB40264,Hymenoptera,NA,,,,,,
GB40265,Insecta,NDEG,,,,,,
GB40266,Hymenoptera,NA,,,,,,
GB40267,Insecta,NA,,,,,,
GB40268,Hymenoptera,NA,,,,,,
GB40269,Insecta,NA,,,,,,
GB40270,Hymenoptera,NA,,,,,,
GB40271,Insecta,NA,,,,,,
GB40273,Insecta,NA,,,,,,
GB40274,Hymenoptera,NA,,,,,,
GB40278,Insecta,NDEG,,,,,,
GB40279,Hymenoptera,NA,,,,,,
GB40280,Insecta,NDEG,,,,,,
GB40282,Insecta,NA,,,,,,
GB40283,Insecta,NA,,,,,,
GB40284,Insecta,NDEG,,,,,,
GB40285,Insecta,NA,,,,,,
GB40286,Insecta,NA,,,,,,
GB40287,Insecta,W,,,,,,
GB40288,Insecta,NA,,,,,,
GB40289,Insecta,NDEG,,,,,,
GB40291,NA,NA,,,,,,
GB40292,NA,NA,,,,,,
GB40293,NA,NA,,,,,,
GB40294,NA,NA,,,,,,
GB40296,Insecta,NA,,,,,,
GB40297,Insecta,NA,,,,,,
GB40298,Hymenoptera,NA,,,,,,
